OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
Chile,231,GOVERNMENT OF SWEDEN,SWE,Sweden,SWE_GOVT,Sweden Government,0
Chile,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Chile,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
China,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
China,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,0
China,311,PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,0
China,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
China,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Colombia,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,264478.56
Colombia,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,0
Colombia,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,-36679.92
Colombia,231,GOVERNMENT OF SWEDEN,SWE,Sweden,SWE_GOVT,Sweden Government,0
Colombia,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Comoros,231,GOVERNMENT OF SWEDEN,SWE,Sweden,SWE_GOVT,Sweden Government,0
Comoros,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Congo,-,-,-,-,-,-,0
Congo,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Congo,31,UNITED NATIONS POPULATION FUND,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,250000
Congo,37,WORLD FOOD PROGRAMME,UN_AGY 1,UN AGENCY 1,WFP,AGY_WORLD FOOD PROGRAMME,0
Congo,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,0
Congo,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Congo,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Costa Rica,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Costa Rica,88,GOVERNMENT OF COSTA RICA,CRI,Costa Rica,CRI_GOVT,Costa Rica Government,0
Costa Rica,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,0
Costa Rica,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Costa Rica,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Costa Rica,12189,Cooperativa_Macachin_code,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ARG-COOPERATIVA,Macachin,0
Croatia,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Croatia,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Cuba,4,FOOD AND AGRICULTURE ORGANIZAT,UN_AGY 1,UN AGENCY 1,FAO,AGY_FOOD AND AGRICULTURE ORGAN,0
Cuba,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,0
Cuba,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,0
Cuba,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Cuba,13,UN INDUSTRIAL DEVELOPMENT ORGA,UN_AGY 1,UN AGENCY 1,UNIDO,AGY_UN INDUSTRIAL DEVELOPMENT,0
Cuba,23,UN CENTRE FOR HUMAN SETTLEMENT,UN_AGY 1,UN AGENCY 1,UNCHS,AGY_UN CENTRE FOR HUMAN SETTLE,0
Cuba,31,UNITED NATIONS POPULATION FUND,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,0
Cuba,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,0
Cuba,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,0
Cuba,37,WORLD FOOD PROGRAMME,UN_AGY 1,UN AGENCY 1,WFP,AGY_WORLD FOOD PROGRAMME,0
Cuba,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,0
Cuba,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Côte d’Ivoire,-,-,-,-,-,-,0
Côte d’Ivoire,4,FOOD AND AGRICULTURE ORGANIZAT,UN_AGY 1,UN AGENCY 1,FAO,AGY_FOOD AND AGRICULTURE ORGAN,0
Côte d’Ivoire,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,0
Côte d’Ivoire,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Côte d’Ivoire,13,UN INDUSTRIAL DEVELOPMENT ORGA,UN_AGY 1,UN AGENCY 1,UNIDO,AGY_UN INDUSTRIAL DEVELOPMENT,0
Côte d’Ivoire,31,UNITED NATIONS POPULATION FUND,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,0
Côte d’Ivoire,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,0
Côte d’Ivoire,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,0
Côte d’Ivoire,37,WORLD FOOD PROGRAMME,UN_AGY 1,UN AGENCY 1,WFP,AGY_WORLD FOOD PROGRAMME,0
Côte d’Ivoire,40,UN HIGH COMMISSIONER FOR REFUG,UN_AGY 1,UN AGENCY 1,UNHCR,AGY_UN HIGH COMMISSIONER FOR R,0
Côte d’Ivoire,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,0
Côte d’Ivoire,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,0
Côte d’Ivoire,10008,UN Office for Project Services,UN_AGY 1,UN AGENCY 1,UNOPS,United Nations Office for Proj,0
Côte d’Ivoire,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Dakar Regional Service Centre,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Dakar Regional Service Centre,17,AFRICAN DEVELOPMENT BANK,IFI_ADB,IFI_ADB,ADB,African Development Bank,0
Dakar Regional Service Centre,67,GOVERNMENT OF BOSNIA AND HERZE,BIH,Bosnia and Herzegovina,BIH_GOVT,Bosnia and Herzegovina Governm,0
Dakar Regional Service Centre,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,0
Dakar Regional Service Centre,12129,Camara de Comercio de Barranqu,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,COL-,CAM COMERCIO BAR,0
Dakar Regional Service Centre,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Democr People's Repub of Korea,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,0
Democratic Republic of Congo,-,-,-,-,-,-,-915380.51
Democratic Republic of Congo,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,198303.69
Democratic Republic of Congo,38,UNOCHA,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,0
Democratic Republic of Congo,40,UN HIGH COMMISSIONER FOR REFUG,UN_AGY 1,UN AGENCY 1,UNHCR,AGY_UN HIGH COMMISSIONER FOR R,0
Democratic Republic of Congo,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,0
Democratic Republic of Congo,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,40000
Democratic Republic of Congo,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,1.28
Democratic Republic of Congo,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,0
Democratic Republic of Congo,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Democratic Republic of Congo,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,0
Djibouti,4,FOOD AND AGRICULTURE ORGANIZAT,UN_AGY 1,UN AGENCY 1,FAO,AGY_FOOD AND AGRICULTURE ORGAN,0
Djibouti,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Djibouti,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Dominican Republic,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Dominican Republic,297,UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,0
Dominican Republic,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Dominican Republic,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Ecuador,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Ecuador,38,UNOCHA,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,12500
Ecuador,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,0
Ecuador,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,-8925.55
Ecuador,1821,ECU-VARIOS DONANTES,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,VARIOS,PRIV_ECU-VARIOS DONANTES,0
Ecuador,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Ecuador,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Egypt,-,-,-,-,-,-,356586.45
Egypt,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,158013.63
Egypt,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Egypt,10277,VODAFONE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,VODAFONE,PRIV_VODAFONE,0
Egypt,10510,MICROSOFT CORPORATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,MICROSOFT,PRIV_MICROSOFT CORP,0
Egypt,10758,MANSOUR GROUP,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,MANGROUP,PRIV_MANGROUP,0
Egypt,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
El Salvador,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,70000
El Salvador,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,0
El Salvador,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
El Salvador,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Equatorial Guinea,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Equatorial Guinea,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Eritrea,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,15000
Eritrea,327,"GLOBAL FUND TO FIGHT AIDS, TUB",FUNDS_GFATM,FUNDS_GFATM,GFATM,GFATM,0
Eritrea,10053,INT CENTRE OF INSECT P&E,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,ICIPE,PRIV_INT CENTRE OF INSECT P&E,0
Eritrea,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Ethiopia,-,-,-,-,-,-,0
Ethiopia,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Ethiopia,38,UNOCHA,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,0
Ethiopia,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,0
Ethiopia,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,0
Ethiopia,311,PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,0
Ethiopia,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Ethiopia,10480,USAID,USA,United States of America,USAID,USAID,298668.6
Evaluation Office,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Evaluation Office,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,0
Evaluation Office,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,0
Evaluation Office,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,0
Evaluation Office,11517,OIOS,UN_AGY 1,UN AGENCY 1,OIOS,UN_OIOS,0
Fiji,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Fiji,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Fiji,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Gabon,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Gabon,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Gambia,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Georgia,-,-,-,-,-,-,62066.61
Georgia,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Georgia,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Georgia,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Ghana,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,799.96
Ghana,43,INTERNATIONAL ORGANIZATION FOR,UN_AGY 1,UN AGENCY 1,IOM,AGY_INTERNATIONAL ORGANIZATION,0
Ghana,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,0
Ghana,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,0
Ghana,297,UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,0
Ghana,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Ghana,11435,Haiti Relief Donors,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,0
Guatemala,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,-43431.73
Guatemala,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,74847.82
Guatemala,250,ALLOCATED INTEREST,UN_AGY 1,UN AGENCY 1,UND,AGY_UNDETERMINED,0
Guatemala,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Guatemala,11164,FUNDACION PLAN INTERNATIONAL,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,PLANCOL,PRIV_PLAN INT'L IN COLOMBIA,0
Guatemala,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Guinea,-,-,-,-,-,-,121870.64
Guinea,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Guinea,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,1410.56
Guinea,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,0
Guinea,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,0
Guinea,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Guinea-Bissau,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Guinea-Bissau,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,0
Guinea-Bissau,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,0
Guinea-Bissau,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Guyana,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Guyana,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Guyana,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Haiti,-,-,-,-,-,-,0
Haiti,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Haiti,23,UN CENTRE FOR HUMAN SETTLEMENT,UN_AGY 1,UN AGENCY 1,UNCHS,AGY_UN CENTRE FOR HUMAN SETTLE,0
Haiti,38,UNOCHA,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,0
Haiti,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,0
Haiti,208,GOVERNMENT OF SOUTH AFRICA,ZAF,South Africa,ZAF_GOVT,South Africa Government,0
Haiti,311,PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,70000
Haiti,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Honduras,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,3.26
Honduras,31,UNITED NATIONS POPULATION FUND,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,0
Honduras,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,33232.59
Honduras,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Honduras,10779,UNOPS-CSA,UN_AGY 1,UN AGENCY 1,UNOPS,United Nations Office for Proj,0
Honduras,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Human Development Report Ofc,199,GOVERNMENT OF PORTUGAL,PRT,Portugal,PRT_GOVT,Portugal Government,50000
India,3,INTERNATIONAL LABOUR ORGANIZAT,UN_AGY 1,UN AGENCY 1,ILO,AGY_INTERNATIONAL LABOUR ORGAN,0
India,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,0
India,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,0
India,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
India,13,UN INDUSTRIAL DEVELOPMENT ORGA,UN_AGY 1,UN AGENCY 1,UNIDO,AGY_UN INDUSTRIAL DEVELOPMENT,0
India,31,UNITED NATIONS POPULATION FUND,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,0
India,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,0
India,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,0
India,40,UN HIGH COMMISSIONER FOR REFUG,UN_AGY 1,UN AGENCY 1,UNHCR,AGY_UN HIGH COMMISSIONER FOR R,0
India,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,0
India,297,UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,0
India,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,0
India,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
India,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Indonesia,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,392082
Indonesia,188,GOVERNMENT OF NEW ZEALAND,NZL,New Zealand,NZL_GOVT,New Zealand Government,0
Indonesia,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Indonesia,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
"Iran, Islamic Republic of",12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
"Iran, Islamic Republic of",10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
"Iran, Islamic Republic of",12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Iraq,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Iraq,18,ASIAN DEVELOPMENT BANK,IFI_ASDB,IFI_ASDB,ASDB,Asian Development Bank,0
Iraq,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,0
Iraq,231,GOVERNMENT OF SWEDEN,SWE,Sweden,SWE_GOVT,Sweden Government,0
Iraq,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Iraq,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,0
Iraq,10513,PER- FONDO ITALO PERUANO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PER-FONDO,PRIV_PER-FONDO,0
Iraq,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Jamaica,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,5000
Jamaica,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Jamaica,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Jordan,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Jordan,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,0
Jordan,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,0
Jordan,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Jordan,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,0
Kazakhstan,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Kazakhstan,142,GOVERNMENT OF KAZAKHSTAN,KAZ,Kazakhstan,KAZ_GOVT,Kazakhstan Government,0
Kazakhstan,297,UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,0
Kazakhstan,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Kazakhstan,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Kenya,-,-,-,-,-,-,0
Kenya,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Kenya,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,0
Kenya,10480,USAID,USA,United States of America,USAID,USAID,-28681.39
Kenya,12159,UNDG Member Agencies,UN_AGY 1,UN AGENCY 1,UNDG,Member Agencies,0
Kosovo (As per UNSCR 1244),12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,0
Kosovo (As per UNSCR 1244),187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,0
