key,OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Expenses
1,Argentina,1013,ARG-GOBIERNO,ARG,Argentina,ARG_GOVT,Argentina Government,215813575.29
2,Afghanistan,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,153762528.43
3,Zimbabwe,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,81155616.57
4,"Sudan, Republic of the",327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,38540169.27
5,Democratic Republic of Congo,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,35718656.95
6,"South Sudan, Republic of",10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,33761704.91
7,Egypt,101,GOVERNMENT OF EGYPT,EGY,Egypt,EGY_GOVT,Egypt Government,27713785.91
8,Brazil,11895,BRA-TERRACAP,BRA,Brazil,BRA_MIN,Brazil Ministry,22927866.55
9,"Sudan, Republic of the",10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,22077268.01
10,Panama,1070,PAN-GOVT,PAN,Panama,PAN_GOVT,Panama Government,21290756.73
11,Brazil,71,GOVERNMENT OF BRAZIL,BRA,Brazil,BRA_GOVT,Brazil Government,20732844.28
12,El Salvador,1046,ELS-GOBIERNO DE EL SALVADOR,SLV,El Salvador,SLV_GOVT,El Salvador Government,19552021.35
13,Saudi Arabia,210,GOVERNMENT OF SAUDI ARABIA,SAU,Saudi Arabia,SAU_GOVT,Saudi Arabia Government,17632193.06
14,"South Sudan, Republic of",187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,15244216.7
15,Venezuela,255,GOVERNMENT OF VENEZUELA,VEN,Venezuela,VEN_GOVT,Venezuela Government,14909656.02
16,Haiti,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,14743857.13
17,Colombia,877,COL-DEPARTAMENTO NACIONAL DE P,COL,Colombia,COL_MIN,Colombia Ministry,14017213.88
18,Democratic Republic of Congo,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,13800240.61
19,Pakistan,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,13690511.58
20,"South Sudan, Republic of",327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,12935399.28
21,Bangladesh,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,12913066.43
22,Ukraine,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,12783331.77
23,Afghanistan,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,11716366.6
24,Zambia,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,10846292.92
25,Mali,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,10660287.09
26,Paraguay,1040,PAR-GOBIERNO DEL PARAGUAY,PRY,Paraguay,PRY_GOVT,Paraguay Government,10651760.22
27,Afghanistan,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,10486454.44
28,"Moldova, Republic of",10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,10444181.46
29,Indonesia,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,10367327.32
30,Bangladesh,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,10162327.49
31,Tajikistan,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,9983854.8
32,Kyrgyzstan,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,9824533.32
33,Turkey,244,GOVERNMENT OF TURKEY,TUR,Turkey,TUR_GOVT,Turkey Government,9566670.43
34,Peru,1573,PER-PRESIDENCIA DEL CONSEJO DE,PER,Peru,PER_MIN,Peru Ministry,9205529.04
35,Afghanistan,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,8734761.06
36,Mali,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,8353230.55
37,"Belarus, Republic of",327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,8265729.53
38,Afghanistan,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,7952052.35
39,Dominican Republic,98,GOVERNMENT OF DOMINICAN REPUBL,DOM,Dominican Republic,DOM_GOVT,Dominican Republic Government,7854427.55
40,Tunisia,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,7792938.24
41,Uzbekistan,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,7202600.15
42,Guatemala,121,GOVERNMENT OF GUATEMALA,GTM,Guatemala,GTM_GOVT,Guatemala Government,6969114.32
43,Cyprus,93,GOVERNMENT OF CYPRUS,CYP,Cyprus,CYP_GOVT,Cyprus Government,6750931.6
44,Angola,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,6605845.42
45,Kuwait,145,GOVERNMENT OF KUWAIT,KWT,Kuwait,KWT_GOVT,Kuwait Government,6498731.02
46,Bureau for Dev. Policy,1784,POL-UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,6431068.76
47,"Iran, Islamic Republic of",327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,6194797.36
48,Kenya,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,6132161.27
49,Nicaragua,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,5759673.44
50,Madagascar,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,5730434.07
51,Morocco,172,GOVERNMENT OF MOROCCO,MAR,Morocco,MAR_GOVT,Morocco Government,5664507.35
52,Cuba,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,5591381.11
53,Congo,200,GOVERNMENT OF CONGO,COG,Congo,COG_GOVT,Congo Government,5419853.27
54,Kenya,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,5397767.82
55,Bosnia and Herzegovina,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,5371689.9
56,Guinea,11363,MDTFO\JP_Peace_Building_Fund,MDTF1,BU,PBF,PEACEBUILDING,5202560.98
57,Egypt,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,5060887.31
58,India,12044,GOVT. OF HARYANA,IND,India,IND_GOVT,India Government,4926634.69
59,Brazil,11587,Ministerio da Saude,BRA,Brazil,BRA_MIN,Brazil Ministry,4904631.71
60,Afghanistan,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,4902097.9
61,Kenya,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,4851580.09
62,Reg Bureau for Asia & Pacific,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,4799442.24
63,Somalia,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,4770783.51
